Project,Purpose of Project,Partners,Funding Amount,Leveraged Funds,Other Funding Sources,Headquarters,Delivery Location,Venue/Site,Target Population,Gender,Lower Age,Upper Age,Project Start Date,Project End Date,Duration,Website,Intervention Type,Common Risk Factor,Non MSP Projects,Tax Payer Funding,Address
Alliance Wellness and Rehabilitation Inc.;Healthy Kids Initiative,The project supports an eight-week program that provides overweight or obese children with supervised exercise therapy and cognitive behaviour education.,YMCA Regina; YMCA  Saskatoon; Alliance Wellness & Rehabilitation Inc.,1564875,1203750,0,Corman Park,SK,"Schools, Communty Setting",Children aged 10-17,All,10,17,Dec-2018,Mar-2022,3 - year project,https://www.alliancehealth.ca/wellness/,Community-led facilitation,Physical Inactivity and/or Sedentary Behavior; Unhealthy Eating,,,"310 Arlington Avenue, Saskatoon, SK"
Boys and Girls Clubs of Canada;Kid Food Nation,The project inspires children/youth and their families to purchase and prepare healthy foods.,Corus Entertainment; Presidents Choice Kids Foundation; Social Research Demonstration Group; Boys and Girls Clubs of Canada,4988373,6412728,0,Toronto,"BC, AB, SK, MB, ON, QC, NB, NS, PE, NL","Schools, Communty Setting",Children/youth ages 7-12 and their families,All,7,12,Oct-2016,Mar-2021,4.5-year project,https://www.bgccan.com,Community-led facilitation,Unhealthy Eating,,,"2005 Sheppard Avenue East Toronto, Ontario"
Canada Soccer;Movement Preparation,The project is promoting soccer injury prevention and physical activity.,FIFA; Canadian Sport for Life (CS4L); University of Calgary,1000000,1000000,0,Ottawa,"AB, ON, QC, NS",Community (Soccer Clubs),Soccer players and learning faciliators and coaches,All,10,21,Mar-2015,Mar-2020,4-year project,https://www.canadasoccer.com/,Training/Curriculum-based,Physical Inactivity and/or Sedentary Behavior,,,"237 Metcalfe Street Ottawa, ON"
Canadian Cancer Society;Walk or Run to Quit,The project is decreasing tobacco use among Canadians and increasing physical activity.,"Running Room; Johnson & Johnson;
Media Partner (OKD, Edelman)",4997757,2231525,0,Toronto,"BC, AB, SK, MB, ON, QC, NB, NS, NL, PE",100 Running Room locations across Canada and online,Adult Smokers,All,18,All,Jul-2015,Mar-2021,5-year project,https://www.cancer.ca/,Community-led facilitation,Physical Inactivity and/or Sedentary Behavior; Smoking,,,"55 St Clair Avenue West, Toronto, Ontario"
Canadian Cancer Society;Construction Industry Tobacco Cessation Project,The project is offering support in the workplace to help construction workers quit smoking.,Canadian Cancer Society; Ontario Tobacco Research Unit; Centre for Addiction and Mental Health; Johnson and Johnson; Ellis Don,3862735,2050896,0,Toronto,"ON , AB",Construction work sites,Smokers in construction industry,All,18,All,Dec-2018,Nov-2023,5- year project,https://www.cancer.ca/,Training/Curriculum-based,Smoking,,,"72 St Clair Avenue West, Toronto, Ontario"
Canadian Men's Health Foundation;Don’t Change Much – A Novel Assessment and Intervention Program for Men’s Health Promotion and Chronic Disease Prevention,The project is inspiring men and their families to lead healthier lives with good information and easy tips they can act on.,Google; Sullivan Urology Foundation; University of British Columbia,4507711,668347,0,Vancouver,All,Digital,Adult Men,Male,19,50,Jan-2016,Mar-2020,5-year project,https://menshealthfoundation.ca,Mobile/Web applications,Physical Inactivity and/or Sedentary Behavior;Unhealthy Eating; Smoking,Yes,,"609 West Hastings St, Vancouver, BC"
Capsana;Activez votre santé / Activate your Health,The project is motivating and supporting women in the workplace to adopt healthier lifestyles.,"Caisse de Dépôt et Placement du Québec;  SPI Santé Sécurité;  Fédération des Caisses Desjardins du Québec; Sprout Wellness Solutions; SOSCuisine;  Groupe Entreprises en Santé;  Caisse Repentigny; Caisse populaire canadienne italienne; Caisse Pierre-Le Gardeur; Autorité des marchés financiers; 
Université de Montréal",937503,774381,322983,Montreal,QC,Employees in workplaces,women 25-54 years,Female,25,54,Aug-2016,Mar-2021,5-year project,https://www.capsana.ca,Intensive/Cohort based,Physical Inactivity and/or Sedentary Behavior; Unhealthy Eating,,,"300 Léo-Pariseau St., Montreal, Quebec"
Centre for Addictions and Mental Health;Picking up the PACE (Promoting and Accelerating Change through Empowerment),The project is offering training and tools for healthcare providers to help patients address multiple risk factors for smoking.,Medical Psychiatry Alliance; the Hospital for Sick Children; Trillium Health Partners and the University of Toronto; Ministry of Health and Long-Term Care; Women's College Hospital; College of Family Physicians of Canada; Canadian Partnership Against Cancer; Nutrition Resource Centre; C-Change; Physical Activity Resource Centre; Association of Family Health Teams of Ontario; Canadian Mental Health Association; Cancer Care Ontario; Empowerment Council; Algoma Public Health; Public Health Ontario; Heart and Stroke Foundation,703904,343000,0,Toronto,All,"Digital, Clinical Setting",Health care providers; Smokers,All,18,All,Jan-2017,Sep-2021,5-year project,https://www.camh.ca/,Mobile/Web applications,Smoking,,,"1001 Queen Street West, Toronto, Ontario"
Childhood Obesity Foundation;Online Program for a Healthy and Green Life in Children and Youth,The project is influencing behaviour change in overweight and obese children and helping them improve healthy habits.,"Ayogo Health Incorporated; Merck Canada Incorporated; Pacific Blue Cross;  Heart and Stroke Foundation; David Suzuki Foundation; BC Childrens Hospital; Alberta Children's Hospital; Children's Hospital of Eastern Ontario;  McMaster Children’s Hospital; Stollery Children’s Hospital; Hospital for Sick Children (SickKids); Diabetes Canada; Craving Change 
 ",3136705,2818000,145000,Vancouver,"BC, AB, ON",Digital,Youth (10-17 years) and their families,All,10,17,Jan-2017,Nov-2020,4-year project,https://childhoodobesityfoundation.ca,Mobile/Web applications,Physical Inactivity and/or Sedentary Behavior; Unhealthy Eating,,,"2635 Laurel Street, Vancouver, BC"
Community Food Centres Canada;Food Fit  Promoting Healthy Eating and Fitness in Low-Income Communities,The project is targeting low-income community members to increase healthy food knowledge and physical activity.,"Lawson Foundation; Brian and Joannah Lawson Family Foundation; HRJ Consulting; RBC Foundation;  Manulife; Medavie Health Foundation; Peter Gilgan Foundation; individual partner;The Printing House; Sprott Foundation
",1204884,781500,0,Toronto,"BC, AB, ON, QC, NB, NL, NS",Community Setting,Low income community members,All,All,All,Jun-2016,Mar-2021,5-year project,https://cfccanada.ca,Community-led facilitation,Physical Inactivity and/or Sedentary Behavior; Unhealthy Eating,,,"80 Ward St., Toronto, ON"
